mode,snr_plot,class_name,n_errors
binary,0.0,allow,260
binary,0.0,not_allow,13
binary,5.0,allow,227
binary,5.0,not_allow,29
binary,10.0,allow,178
binary,10.0,not_allow,40
binary,20.0,allow,62
binary,20.0,not_allow,84
binary,30.0,allow,10
binary,30.0,not_allow,166
prototype,0.0,allow,315
prototype,0.0,not_allow,7
prototype,5.0,allow,282
prototype,5.0,not_allow,10
prototype,10.0,allow,237
prototype,10.0,not_allow,21
prototype,20.0,allow,76
prototype,20.0,not_allow,73
prototype,30.0,allow,9
prototype,30.0,not_allow,167
