mode,speaker,class_name,n_errors
prototype,p227,allow,254
prototype,p225,allow,243
binary,p227,allow,226
prototype,p228,allow,175
binary,p225,allow,168
prototype,p232,allow,150
binary,p228,allow,144
binary,p226,not_allow,138
binary,p232,allow,131
prototype,p226,not_allow,114
binary,p229,not_allow,111
prototype,p231,allow,97
prototype,p229,not_allow,96
binary,p230,not_allow,74
binary,p231,allow,68
prototype,p230,not_allow,61
binary,sp5588,not_allow,4
prototype,sp5588,not_allow,2
binary,sp0472,not_allow,1
binary,sp0198,not_allow,1
binary,sp4957,not_allow,1
binary,sp1050,not_allow,1
binary,sp8057,not_allow,1
prototype,sp0472,not_allow,1
prototype,sp4014,not_allow,1
prototype,sp4957,not_allow,1
prototype,sp5139,not_allow,1
prototype,sp8057,not_allow,1
